"","No","H_A","D1_A","D2_A","D1_P","D2_P","W_m_A","W_s_A","W_a_A","L_b_A","L_v_A","W_d_A","W_ia_A","W_r_A","W_L","W_A","W_m_L","S","FE","A","W_c_A","D12_P","H_A_L"
"63",63,29055.66841,25209,57501,0.500178571,1.140892857,126498.1504,0.00000001,2220.702519,7205.022268,135521.253,0.00000001,0.00000001,0.00000001,2481.88669,128718.8529,2142.030691,0.000116522,7.695834,271445.1281,128718.85289999,0.640714286,1
"64",64,31487.01656,29412,69309,0.39516855,0.931209609,137078.247,0.00000001,0.00000001,4930.74916,84054.94499,0.00000001,0.00000001,0.00000001,2131.093082,137078.247,2131.093082,0.000176576,7.7218165,226063.9411,137078.24699999,0.536041059,2
"65",65,35030.51311,31797,55665,0.580873219,1.016898064,134562.2366,0.00000001,27598.73496,6716.355256,101786.9327,0.00000001,0.00000001,0.00000001,3740.589997,162160.9715,1869.312029,0.0000619,7.452449333,270664.2595,162160.97149999,0.436024845,2
"66",66,45087.91869,61299,127332,0.768697331,1.596759631,145735.1431,0.00000001,28520.62651,12966.76009,309783.1433,8006.177578,955.456889,0.00000001,5386.649498,183217.4041,2226.889634,0.000803279,7.12820875,505967.3075,175211.226522,0.8280623,3
"67",67,22417.59363,54018,139428,0.925694897,2.389347774,168558.4015,0.00000001,359.086072,5212.090984,192781.7509,4340.12131,0.00000001,0.00000001,2506.962375,173257.6089,2108.600763,0.000464062,6.540373,371251.4508,168917.48759,1.463652877,1
"68",68,43360.56643,47727,122463,1.065287264,2.733427079,183104.0132,0.00000001,0.00000001,2990.639477,25697.8127,0.00000001,0.00000001,0.00000001,2355.705968,183104.0132,2355.705968,0.000342878,8.2064166,211792.4654,183104.01319999,1.668139815,3
"69",69,51030.07977,80028,143406,0.879970091,1.576860486,186813.8356,0.00000001,33368.67734,13188.70939,145587.7969,2013.995089,0.00000001,0.00000001,5606.922349,222196.5081,4002.915202,0.000673008,8.2501038,380973.0143,220182.513011,0.696890395,3
"70",70,24040.59162,97029,167427,0.847785059,1.462883355,191113.6465,0.00000001,11897.6097,5245.419076,216496.2802,0.00000001,0.00000001,0.00000001,2900.744595,203011.2562,2137.437324,0.000490347,5.4735885,424752.9554,203011.25619999,0.615098296,1
"71",71,40572.44065,28080,81891,0.404494382,1.179645635,159052.12,0.00000001,0.00000001,1454.883582,3930.801777,0.00000001,0.00000001,0.00000001,2016.983598,159052.12,2016.983598,0.0000891,5.608059167,164437.8054,159052.11999999,0.775151253,3
"72",72,41852.05456,32022,81270,0.554090532,1.40625,160182.3188,0.00000001,0.00000001,434.413733,11584.67045,0.00000001,0.00000001,0.00000001,2064.614125,160182.3188,2064.614125,0.000110023,7.7793892,172201.403,160182.31879999,0.852159468,3
